Group 1 Subjects,Group 2 Subjects
100307,100610
100408,105620
101107,107725
101309,109830
101915,112516
103111,112920
103414,114217
103818,115219
105014,116726
105115,118225
106016,121416
108828,127327
110411,128935
111312,131419
111716,132017
113619,134728
113922,145127
114419,146937
115320,149236
116524,151425
117122,155938
118528,158338
118730,158843
118932,159744
120111,160729
122317,162935
122620,164636
123117,167238
123925,168240
124422,169040
125525,171532
126325,173738
127630,174841
127933,175742
128127,176037
128632,177241
129028,178647
130013,180735
130316,181636
131217,185341
131722,185947
133019,188549
133928,195445
135225,198249
135932,200008
136833,200311
138534,203923
139637,204319
140925,204420
144832,204622
146432,207426
147737,208125
148335,209228
148840,223929
149337,228434
149539,297655
149741,309636
151223,322224
151526,336841
151627,346137
153025,378857
154734,381038
156637,393247
159340,393550
160123,459453
161731,467351
162733,495255
163129,523032
176542,536647
178950,548250
188347,555348
189450,572045
190031,580650
192540,587664
196750,588565
198451,597869
199655,609143
201111,614439
208226,615744
211417,628248
211720,633847
212318,645450
214423,654350
221319,668361
239944,680250
245333,693764
280739,706040
298051,792867
366446,810843
397760,818859
414229,844961
499566,852455
654754,856968
672756,870861
751348,872562
756055,880157
792564,894067
856766,942658
857263,947668
899885,996782
